Status,Severity,Title,Type,File,Description,Suggested fix
Fixed,High,package.json bugs URL points to wrong repo,DX,package.json,package.json bugs URL points to wrong repository,Update bugs URL to correct repository
Fixed,High,Missing module/types fields in package.json,DX,package.json,No module or types fields preventing tree-shaking and TypeScript consumers,Add "module": "./dist/index.js" and "types": "./dist/index.d.ts"
Fixed,Medium,Infinite retry loop in _initializePickr,Defect,src/inputs/e-input.js:583,setTimeout retries forever with no backoff or max count if button never appears,Add max retry count (e.g. 10) and backoff
Fixed,Medium,Phone aria-invalid set to "false" string instead of omitted,Accessibility,src/inputs/e-input.js:813,aria-invalid="false" is produced instead of omitting attribute when valid,Use aria-invalid="${this.valid ? undefined : 'true'}" like other render methods
Fixed,Medium,Phone placeholder has no nullish fallback,Defect,src/inputs/e-input.js:813,placeholder="${this.placeholder}" renders "undefined" when placeholder is not set,Use this.placeholder ?? ''
Fixed,Medium,Country names truncated to 10 chars with no tooltip,Accessibility,src/inputs/e-input.js:811,Names like "Afghanista..." are ambiguous; no title attribute for full name,Add title="${c.name}" to option elements
Fixed,Medium,Individual component files use input: event prefix instead of e:,Inconsistency,src/inputs/*.js,Individual components dispatch input:error/input:input instead of e:error/e:input,Change all event prefixes to e:
Fixed,Medium,Option tag mismatch between files,Inconsistency,src/inputs/*.js,Individual components query <input-select-option> but e-input-options.js registers <e-select-option>,Consolidate all option queries to use e- prefix tags
Fixed,Medium,No role="alert" on error messages,Accessibility,src/inputs/e-input.js:678-692,Error messages are not announced by screen readers when they appear,Add role="alert" to error container
Fixed,Medium,masky-js listed as dependency but never imported,Performance,package.json,masky-js ^1.0.1 is in dependencies but never used anywhere in source,Remove masky-js from dependencies
Fixed,Low,data-maska attribute set redundantly,Code Quality,src/inputs/e-input.js:1119,data-maska attribute set on input when mask is already applied via MaskInput API,Remove redundant attribute set
Fixed,Low,InputEmail class not exported,Inconsistency,src/inputs/e-input-email.js:3,class InputEmail has no export keyword unlike all other component files,Add export default
Fixed,Low,Password component uses static get properties() instead of class field,Inconsistency,src/inputs/e-input-password.js:5,Uses static get properties() getter instead of static properties = class field,Use consistent class field syntax
,Medium,parseFloat ignores locale formatting in number steppers,Defect,src/inputs/e-input.js:1095-1096,parseFloat("1.000,50") returns 1 for European locale; step=0 treated as falsy,Use locale-aware parsing; guard step with step !== undefined
,Medium,Number(min) can produce NaN in text schema,Defect,src/inputs/e-input.js:1310-1311,Non-numeric min/max attributes produce NaN passed to z.string().min(NaN),Validate min/max are numeric before calling Number()
,Medium,Phone input falls back to masked value when maskInstance is null,Defect,src/inputs/e-input.js:1128-1135,_maskInstance?.unmaskedValue || e.target.value uses masked value as raw digits,Use e.target.value.replace(/\D/g, '') as fallback
,Medium,Keyboard navigation on empty options list calls _selectOption(undefined),Defect,src/inputs/e-input.js:1213-1237,ArrowDown on empty list keeps highlightedIndex at -1 then Enter calls this.options[-1],Guard highlightedIndex >= 0 before selecting
,Medium,reset() for range assigns string to number property,Defect,src/inputs/e-input.js:1479-1480,this.min (String) assigned to valueMin (Number) bypassing Lit coercion,Use Number(this.min) or parseFloat
,Medium,validate() concurrent invocations race,Defect,src/inputs/e-input.js:1391-1451,Direct validate() calls from date handlers run concurrently with debounced validation,Use AbortController to cancel in-flight validation
,Medium,Date change handlers don't validate event detail shape,Defect,src/inputs/e-input.js:1167-1168,If wc-datepicker dispatches unexpected detail e.detail[0] throws,Guard with if (e.detail && e.detail[0])
,Medium,Properties without attribute mapping cannot be set via HTML,Inconsistency,src/inputs/e-input.js:264-316,email/url/includes/format/multiple/rows/range/startValue/endValue have no attribute mapping,Add attribute: '...' to all properties
,Medium,No aria-activedescendant on combobox,Accessibility,src/inputs/e-input.js:964-979,Combobox dropdown doesn't set aria-activedescendant on the input,Add aria-activedescendant pointing to highlighted option
,Medium,No aria-controls on select/combobox dropdowns,Accessibility,src/inputs/e-input.js:906-937,Select and combobox don't associate input with dropdown via aria-controls,Add aria-controls="${this.ids.listbox}" to input
,Medium,No aria-multiselectable for multiple selects,Accessibility,src/inputs/e-input.js:906-937,Multiple select doesn't declare multiselectable on listbox role,Add aria-multiselectable="true" when multiple is true
,Medium,JSON.parse of user-controlled attributes without validation,Security,src/inputs/e-input.js:610-612,numberFormatOptions/relativeTimeFormatOptions/listFormatOptions parsed without schema validation,Validate parsed result is expected shape
,Medium,dist/ committed to git,DX,.gitignore,dist/ directory is committed to version control,Add dist/ to .gitignore
,Medium,test-localization.html references non-existent file,DX,test-localization.html,References ./src/inputs/e-input-range.js which doesn't exist (file is e-input.js),Fix import path or remove file
,Medium,No test files despite jest in devDependencies,DX,package.json,jest is configured but no test files exist,Add test files or remove jest dependency
,Low,_handleOutsideClick is dead code,Code Quality,src/inputs/e-input.js:456-460,Method defined but never called; connectedCallback uses inline arrow function instead,Remove dead method
,Low,updated() calls _initializePickr unnecessarily,Performance,src/inputs/e-input.js:526-529,updated() calls _initializePickr on every disabled/actionButton change even for non-color types,Add this.type === 'color' guard before calling
,Low,_getDisplayValue Number() can produce NaN,Defect,src/inputs/e-input.js:630,Number(this.value) produces NaN for non-numeric values formatted as "NaN",Guard with isNaN check
,Low,_renderRange formatValue can produce NaN,Defect,src/inputs/e-input.js:888,this._formatValue(this.min) produces "NaN" when min is undefined,Guard min/max with ?? 0
,Low,_renderSlider value attribute set to "undefined",Defect,src/inputs/e-input.js:896,Template literal value="${this.value}" without ?? '' fallback,Use this.value ?? ''
,Low,JSON.parse throws if error is already an object,Defect,src/inputs/e-input.js:682,Direct property assignment could pass object to JSON.parse,Guard with typeof this.error === 'string'
,Low,err.message renders as "undefined" in error list,Defect,src/inputs/e-input.js:690,Error object without message property renders "undefined",Use err.message || ''
,Low,Phone validation doesn't check maxDigits or mask,Defect,src/inputs/e-input.js:1453-1458,_buildPhoneSchema only checks required and minDigits not country mask,Add mask/maxDigits validation
,Low,JSON.stringify on every date range keystroke,Performance,src/inputs/e-input.js:1169-1172,JSON.stringify called on every input event for date range,Debounce or use lazy serialization
,Low,focus() CSS selector with concatenated ID is fragile,Defect,src/inputs/e-input.js:1513,querySelector('#' + id) breaks if id contains CSS-special characters,Use this.renderRoot.getElementById() or querySelector([id='...'])
,Low,ids.country uses Math.random() not crypto,Code Quality,src/inputs/e-input.js:400,IDs generated with Math.random() instead of crypto.randomUUID(),Use crypto.randomUUID() when available
,Low,min/max type mismatch between base classes,Inconsistency,src/inputs/*.js,min/max typed as String in text-base but Number in number-base and range,Unify min/max types across all components
,Low,Method naming inconsistency (_onActionShow vs _onActionHide),Inconsistency,src/inputs/*.js,Text-base uses _onActionShow but number-base uses _onActionHide for same functionality,Unify method names
,Low,Schema builder naming inconsistency,Inconsistency,src/inputs/*.js,Unified component uses _buildTextSchema/_buildNumberSchema but individual components use _buildSchema,Unify schema builder naming
,Low,Individual component classes not exported,Inconsistency,src/inputs/*.js,Classes like InputText in e-input-text.js are not exported (no export default),Add export default or remove files
,Low,Class naming inconsistency (InputText vs EInput),Inconsistency,src/inputs/*.js,Individual components use InputText but main component uses EInput,Use EInput prefix for all classes
