ID,Status,Priority,Phase,Title,Description,Files,Dependencies,Acceptance Criteria,Notes
C1,Done,High,Library & persistence,types.ts + drizzle db (SQLite) + settings.ts,"Implement types.ts (CommandIdSchema CVCV-CVCV-CVCV, lean CommandRow: id/command/title/description/source_folder/tags[]/created_at/updated_at, MetadataDoc sidecar schema with variables/values/shell/askMode, AppSettings, bindings + run contracts, all zod schemas); ids.ts (18-consonant CVCV generator + validator); db/schema.ts (drizzle sqlite-core tables: lean commands + settings/hub_cache/hub_state/publish_queue/publish_status which stay in DB); db/db.ts (node:sqlite + drizzle sqlite-proxy over <app-data>/command-center/command-center.db with migrate-on-open from db/migrations/); metadata.ts (atomic {id}.metadata.json sidecars under <app-data>/command-center/commands/); and settings.ts (DEFAULT_SETTINGS + load/save + window geometry via the settings table). DB holds only command/title/description/source_folder/tags (+timestamps); all other metadata lives in sidecars.",desktop-app/types.ts; desktop-app/ids.ts; desktop-app/metadata.ts; desktop-app/db/schema.ts; desktop-app/db/db.ts; desktop-app/db/migrations/**; desktop-app/settings.ts; desktop-app/tests/ids_test.ts; desktop-app/tests/settings_test.ts,A1,"ids_test.ts + settings_test.ts pass against an ephemeral SQLite file + temp sidecar dir: CVCV format/10k uniqueness/validator rejects legacy+uppercase; lean commands table has exactly id/command/title/description/source_folder/tags/created_at/updated_at; settings defaults on fresh DB, roundtrip, partial merge; AppSettingsSchema rejects out-of-range; migrate-on-open creates every table; corrupt sidecar falls back without throwing.","Drizzle for index tables (lean commands + settings/hub/publish stay in SQLite); sidecar JSON for all command metadata. App-data root: LOCALAPPDATA then USERPROFILE then HOME then '.', under command-center/. CVCV consonants: bcdfghjklmnpqrstvwz (18) + vowels aeiou."
C2,Done,High,Library & persistence,seeds.ts — merged seed set,"Author seeds.ts exporting DEFAULT_COMMANDS: the 16 distinct design templates collapsed to 12 seeds by merging the four same-command pairs (ffmpeg, docker-run, git-log, npm-run, richer index.html variant kept), each with a fixed checked-in CVCV id (deterministic) plus sidecar seed metadata, and port SHOWCASE's curated vars metadata (18 entries, 39 labels) onto the ffmpeg seed's sidecar.",desktop-app/seeds.ts; design/index.html; design/command.html,C1,12 seeds with unique valid CVCV ids; no id collision with user or hub-added commands (fresh CVCV per duplicate/add); ffmpeg seed sidecar carries per-option labels; the app never needs a 'showcase' fallback.,"The two design files ship non-intersecting id spaces (n1..n7 vs c1..c9 + showcase), which is why every built-in card link lands on the fallback today."
C3,Done,High,Library & persistence,"library.ts — CRUD, search, import/export","Implement library.ts over drizzle + metadata.ts: list/get/save (upsert lean DB row zod-parsed + atomic sidecar write, sidecar first then DB)/remove (DB row + sidecar delete)/duplicate (fresh CVCV id + ' (copy)' + sidecar copy)/search (case-insensitive substring over command+title+description+source_folder only)/importJson (accepts a SavedCommand or a §1.4 metadata document, splits to row+sidecar, fresh CVCV on collision; non-CVCV ids rejected)/exportJson (joins row+sidecar to the §1.4 document, writes <id>.metadata.json). Seed from seeds.ts when the commands table is empty. Values/shell/askMode/vars live in sidecars keyed commandId → iid, never in the DB row.",desktop-app/library.ts; desktop-app/tests/library_test.ts,C2,library_test.ts green against an ephemeral SQLite file + temp sidecar dir: create → export → import → deep-equal; duplicate yields a fresh valid CVCV id; delete removes row + sidecar; search matches the design's substring semantics over the 4 DB fields; missing/corrupt sidecar degrades gracefully; an exported <id>.metadata.json is accepted by design/publish.html's loader.,"The metadata document field names are a hard contract: command/description/workingDirectory, not cmd/desc/cwd."
C4,Done,High,Library & persistence,widgetToEInput mapping + format lookup,"Add widgetToEInput(token) to registry.ts: the fixed table mapping the 17 live widgets onto <e-input type> values (text/email/url/search/uuid→text+format, number/port→number, date/time/datetime→date, color→color, password→password, select/country/timezone/currency/language/locale/license→select, radio/buttongroup→radio, multiselect→checkbox-group, checkbox/switch→checkbox, range→range, textarea→textarea, keyvalue→paired text fields), plus the file→text+action-button='browse' rule for the 3 file tokens.",desktop-app/registry.ts; desktop-app/tests/inputs_test.ts,C1;B1,"Every one of the 30 live tokens resolves to a real <e-input type> with no accidental default fallthrough; the text-family format mapping, the 7 select-family lists and the 3 file tokens are asserted explicitly; retired tokens resolve through the same table via their recorded widget.",The library's type attribute accepts ~16 values — the registry and the element type are different axes; the mapping table bridges them.
C5,Done,High,Library & persistence,"renderToken(token, value) element builder","Implement renderToken(): build the <e-input> element for a Token — set type via widgetToEInput, name from token.iid (occurrence-keyed), value, label/placeholder/description from author metadata, min/max/step from rangeSpec for range and number, and append the correct option children (e-select-option / e-combobox-option / e-radio-option / e-checkbox-option) carrying labels and descriptions.",desktop-app/render.ts; desktop-app/static/grammar.js,C4,A select/radio token yields one option child per entry with author labels attached; a repeated token produces two elements named 'input.dir' and 'input.dir#2'; a checkbox with =off default starts unchecked; no element is created without a type.,"Options are child custom elements, never a JSON attribute — _collectOptions() reads slotted children and hides them. Deno has no DOM: render.ts returns a descriptor; app.js materializes real DOM in Phase E."
C6,Done,High,Library & persistence,bindings.ts — the full API surface,"Implement bindings.ts registering every handler in the §7.4 contract (app, library, values/shells via sidecars, filesystem, hub, publish, settings), zod-validating every argument, and wire it into main.ts. Values/shells hit {id}.metadata.json, not DB tables.",desktop-app/bindings.ts; desktop-app/main.ts,C3,"Every Phase C binding callable from the webview; invalid args reject with a zod error surfaced as {name,message,stack}; pickFile/pickFolder open the native dialog; file/folder widgets receive absolute paths.","Bindings are the API — no HTTP routes for data. Execution bindings (run/getRunProgress/cancelRun) are registered when runner.ts lands (D2), since they need the shell registry."
D1,Done,High,Runner,shell.ts — registry + probe,"Implement shell.ts: the SHELLS registry (powershell / bash / ubuntu with label, icon, binary and argv builder), binary resolution, and an installed-shell probe whose result feeds getPlatform().shells.",desktop-app/shell.ts,A1,PowerShell is detected on this machine; bash/ubuntu report absent when WSL is missing; the UI never offers a shell that is not present.,Pass the resolved line to the shell's own -Command/-lc flag so it parses exactly once. Never build an argv array from a split string.
D2,Done,High,Runner,runner.ts — real execution,desktop-app/runner.ts; desktop-app/bindings.ts,desktop-app/runner.ts,D1,"Running a real command per shell yields correct stdout, stderr, exit code and cwd; cancelling ping -t leaves no surviving process; a line with an unresolved {{token}} is refused with a visible message; run/getRunProgress/cancelRun are registered on the window and callable from the webview.","Deno.Command has no windowsHide in 2.9.x — use node:child_process. Registers the execution bindings that Phase C deliberately left out. Not a PTY, so interactive prompts block; surface stderr and hint at it."
D3,Done,High,Runner,runner_test.ts,"Write tests/runner_test.ts exercising echo, pwd/cwd correctness, a non-zero exit code, stderr capture, and the cancellation path against real powershell.exe and, when present, bash.exe.",desktop-app/tests/runner_test.ts,D2,All tests green; cancellation asserts the process tree is gone; tests skip cleanly rather than fail when bash is unavailable.,Requires --allow-run in the test task or these fail NotCapable. Phase gate.
E1,Done,High,Frontend: run & author,templates.js — list templates,"Author templates.js: the command card (shell button, name/desc, resolved cmdline, tags, run/status controls), the terminal block, detail rows, hub card, and publish record — compiled once at load, values precomputed by app.js.",desktop-app/static/templates.js,C6,Each template renders from its documented context shape; names and command text are escaped; no helper logic beyond precomputed fields.,Mirrors Compressy's templates.js pattern (XSS-safety through explicit precomputation).
E2,Done,High,Frontend: run & author,app.js — commands component,"Implement the Alpine commands component: list render, search (name+cmd+desc+cwd only, matching the design), tag filter, sort, list/grid toggle, shell cycle with per-command persistence, variable panel build/collect/validate, run with streaming output, cancel, and terminal copy/clear/hide.",desktop-app/static/app.js; desktop-app/static/index.html,E1;C5;C6;D2;A3,End-to-end in the window: browse → open variables → fill → run; output streams into the terminal; the shell picker cycles only installed shells; validation blocks run with the design's exact message; cancel works mid-run.,The design's 260ms setTimeout transcript replay is not ported — output is real.
E3,Done,Medium,Frontend: run & author,app.js — detail component,"Implement the detail component: badges (tag, origin, published), raw template view, rendered preview with labelled chips, the dl fields (cwd, ask mode, id, source, published), the metadata table with per-option tables, and metadata .json export.",desktop-app/static/app.js; desktop-app/static/command.html,E1;C6;A9,Unknown ?id= shows a real 'command not found' state (the design's #missing is unreachable); export writes command-<id>.metadata.json; the metadata table lists every input with its label and options.,The design never unhides #missing — unimplemented ids silently render the showcase. Fix that here.
E4,Done,High,Frontend: run & author,app.js — author component,"Implement the author component: CodeMirror 6 mount with the textarea fallback, live preview, variable metadata editors (label/description/per-option), the ↻ Regenerate control, save/edit/duplicate, plus the cwd and file pickers wired to bindings.pickFile/pickFolder for file-widget action-button='browse'.",desktop-app/static/app.js; desktop-app/static/add.html; desktop-app/static/vendor/codemirror/**,E2;E3;C5;A10,CodeMirror loads from vendor (no CDN) and falls back to the textarea on failure; token highlighting distinguishes known from unknown tokens; type and option completion work; save→reopen restores author metadata; a file token fills an absolute path.,Vendor the six CM6 packages locally — the design's esm.sh importmap would break offline.
E5,Done,Medium,Frontend: run & author,app.js — learn component,"Implement the learn component: generate the 30 reference rows from registry.ts live table at build time (or render client-side) so the page cannot drift, keeping the text+widget filters; retired names are never listed.",desktop-app/static/learn.html; desktop-app/scripts/build-learn.ts; desktop-app/static/app.js,B1;A11,"Exactly the 30 live names appear, each once; the widget filter covers the live widgets; filters hide rows and their empty group headers correctly.",The design hand-maintains 30 rows — generation removes the drift risk.
E6,Done,Medium,Frontend: run & author,Status bar + version/platform,"Add the status bar showing real version, platform and installed shells via getVersion()/getPlatform(), replacing the design's placeholder strings.",desktop-app/static/app.js; desktop-app/static/index.html,E2;C6,Badge shows the real version and OS; the shell list reflects what was actually probed.,
E7,Done,High,Frontend: run & author,Event wiring for the input layer,"Wire the input layer's events: delegate e:input/e:change/e:validate at the component root (they bubble and compose), attach hook:* listeners per element after insertion (they do not bubble or compose), and gate the Run button on e:validate.",desktop-app/static/app.js,E2;C5,Changing a field then blurring fires e:input + e:change + e:validate on the root; hook:onValidate fires only on the element; the Run button disables on an invalid field and re-enables when valid.,"Exactly one validator owns each rule: the library handles presentation constraints, runner.ts remains the execution gate."
E8,Done,High,Frontend: run & author,inputs_test.ts + rendering verification,"Write tests/inputs_test.ts asserting renderToken produces the correct tag/type/attributes for every widget family, that option children carry author labels, that iid becomes name, and that repeated tokens yield distinct names. Then verify visually in a real window.",desktop-app/tests/inputs_test.ts,C5;E7,"Tests green; in the window each widget family renders a themed, upgraded element with no unstyled/unknown tags; type=range is live (proving range-slider registered).",Phase gate. Covers the library having zero tests of its own.
F1,Pending,High,Hub & publish,hub.ts — community data,"Implement hub.ts over drizzle: hubList with cache-first reads from the hub_cache table (15-minute TTL) and the §8.6 search semantics ported verbatim from hub.html (package: gate, weighted term ladder, longest-term highlight, server paging), hubPackages rail counts, hubInstall as a real where/--version probe, hubAdd copying a hub command into the local library with fromHub provenance, hubRecents via hub_state, and sort persistence.",desktop-app/hub.ts,C3;C6,Search replays hub.html's scoreRow vectors exactly; counts feed the rail; install state matches reality on machines with and without the CLI; adding the same hub id twice is a no-op; the Hub renders from the hub_cache table when the API is unreachable.,The design's install is a 25%-per-tick simulation — replace it with a real probe and drop '(simulated)'.
F2,Pending,High,Hub & publish,"publish.ts — export, outbox, submit","Implement publish.ts over drizzle: publishExport emitting the §1.4 document, publishSubmit validating (command present, name ≥2, email regex) then inserting into the publish_queue table and POSTing to the API with retry, publishQueue reading the outbox table, and publish-status persistence in publish_status so the published badge is real.",desktop-app/publish.ts,C3,"A submission lands in the publish_queue table, appears via publishQueue(), POSTs successfully, and flips to pending-review; with the API down it stays queued and reports 'queued — will retry'; retries run on app start and hubRefresh.",The design writes cc-publish-queue and never reads it back; the published badge can never light up because setPub is never called.
F3,Pending,Medium,Hub & publish,app.js — hub component,"Implement the hub component: search palette, package rail with counts, sort, paging, keyboard nav (/ to focus, Escape to clear, arrows to move, Enter to add), suggest chips, recents, and the install/add buttons with their status states.",desktop-app/static/app.js; desktop-app/static/hub.html,F1;E1;A12,Keyboard behaviour matches the design exactly; the rail and the package: token stay in sync; install and add update their labels and disabled states; recents cap at 5.,
F4,Pending,Medium,Hub & publish,app.js — publish component,"Implement the publish component: command select, metadata-file loader with the design's acceptance rule (kind === 'command-metadata' or a truthy command) and field rename mapping, validation with per-field errors, and the inline success panel with its three links.",desktop-app/static/app.js; desktop-app/static/publish.html,F2;E1;A13,A valid metadata file locks the select and fills the summary; an invalid file is rejected with the design's message; a successful submit shows the panel without redirecting.,"Keep the design's field renames: command→cmd, description→desc, workingDirectory→cwd."
F5,Pending,Medium,Hub & publish,API base + offline degradation,"Wire settings.hubApiBase into every hub/publish call (empty means the bundled endpoint; http://localhost:8787 during development) and implement the offline path: hub served from cache with a banner, publish queued and retried.",desktop-app/static/app.js; desktop-app/hub.ts; desktop-app/publish.ts,F3;F4,With the API unreachable the Hub still lists cached commands and search works; a publish attempt queues and reports accordingly; pointing hubApiBase at the real API makes both live.,
G1,Pending,Medium,Polish & packaging,Error states and empty states,"Implement the error surfaces: the command-not-found page, per-command run failures with stderr visible, install failures, offline banners, and empty states for list/hub/search.",desktop-app/static/app.js; desktop-app/static/templates.js,E2;F3,Every failure path shows an actionable message rather than a blank pane; a failed run keeps the terminal open with stderr and the exit code.,"Verified 2026-09-21 non-hub scope (browser tests): not-found page, failed-run stderr plus exit with terminal open, empty list and search states. Install-failure, offline-banner and hub empty states need F1/F3 — stays Pending until then."
G2,Done,Medium,Polish & packaging,Close guards,Guard window close while a run is active (preventDefault + native Deno-side confirm) and while an authoring form has unsaved changes.,desktop-app/main.ts; desktop-app/static/app.js,D2;E4,Closing mid-run prompts and keeps the app alive on cancel; closing a dirty author form prompts before discarding.,The design has no close guard at all.
G3,Pending,High,Polish & packaging,Full smoke pass + build,"Run the §15 verification table end to end, then deno task build producing dist/CommandCentre/ and dist/CommandCentre-msi/CommandCentre.msi, and confirm the compiled binary works standalone.",desktop-app/**,A8;B4;C3;D3;E8;F5,All §15 checks green; the compiled app launches and runs a command with the input layer rendering correctly; the MSI installs and launches.,"Phase gate. Verify the input layer inside the compiled binary specifically — vendored assets must survive embedding. 2026-09-21: deno task build green (dir plus msi); standalone binary serves every page and asset from embedded VFS including e-input, range-slider and codemirror; Inno setup.exe path proven separately (G4). Blocked: hub and website section-15 rows (F5, H7) and the per-machine MSI install test."
G4,Done,High,Polish & packaging,Installer (Inno Setup),"Author scripts/installer.iss and scripts/build-installer.ps1 (extract payload, embed the icon, resolve the version from version.ts) and produce dist/CommandCentre-setup.exe.",desktop-app/scripts/installer.iss; desktop-app/scripts/build-installer.ps1,G3;A7,deno task build:installer produces CommandCentre-setup.exe; installing and launching from the Start menu works.,Port scripts/build-installer.ps1 from Compressy (version.ts wins over deno.json).
G5,Pending,Medium,Polish & packaging,release.ts → assets + releases.json,Implement scripts/release.ts: upload the built artifacts with a SHA-256 digest and prepend a release entry to both releases.json mirrors consumed by the website's /download route.,desktop-app/scripts/release.ts,G4,Running release publishes the assets and updates both releases.json files; the website's /download resolves to the new installer.,"Does not build — uploads what build produced. S3 creds come from .env. Implemented 2026-09-21 plus dry-run green (setup.exe hashed sha256, both mirrors previewed, nothing written). Blocked: real publish needs S3 creds and the website phase for /download."
G6,Done,Medium,Polish & packaging,Seed known-bugs.csv,"Populate plan/known-bugs.csv from the integration findings: the library's event-prefix split, the missing combobox dropdown ARIA, the undeclared wc-datepicker dependency, the unstyled shadow mode, the readme's incorrect .e-* class contract, and the CEF/webview Windows issue — each with severity, evidence and a pointer to the upstream audit sheet.",plan/known-bugs.csv,G1,Every open integration risk from plan §16 is represented with a reproducible description; the file parses as CSV with the documented columns.,Header format must match the other plan CSVs in this repo.
H1,Pending,High,Website,Website scaffold,"Scaffold website/: package.json (hono, linkedom, mustache, drizzle-orm; wrangler, drizzle-kit, @cloudflare/workers-types, @types/bun), wrangler.jsonc (name command-centre-site, KV CACHE binding, D1 database binding, assets directory ./public with html_handling none and run_worker_first, Text rule src/**/*.html with fallthrough true), drizzle.config.ts (SQLite/D1 dialect), bunfig.toml preload, tsconfig.json, bun install. Vendor htmx into public/vendor/ (no CDN at runtime).",website/package.json; website/wrangler.jsonc; website/drizzle.config.ts; website/bunfig.toml; website/tsconfig.json; website/bun.lock; website/public/vendor/htmx.min.js,G3,bunx wrangler dev boots; assets serve from the free path; /healthz responds; src/**/*.html imports resolve as text under both Bun and workerd; drizzle-orm/d1 imports resolve against the local D1; htmx served locally with 200.,"Desktop-app phases A–G complete first — the website renders the corpus the desktop publishes. Copy from C:/projects/compressy/website verbatim, renaming name + KV id and adding the D1 binding + drizzle. Text rule needs fallthrough:true or deploy fails. htmx is newly mandated by stack.md."
H2,Pending,High,Website,Website config + manifest,"Author src/site.config.json and the typed src/config.ts export (url, brand, version, data list, downloads, nav, seo) plus src/manifest.ts SLUGS driving sitemap.xml, robots.txt and the sync test.",website/src/site.config.json; website/src/config.ts; website/src/manifest.ts,H1,Config parses and types import cleanly; SLUGS matches public/*.html exactly (excluding 404); sitemap and robots derive from it.,SLUGS is the single page list — adding a page means editing both it and public/.
H3,Pending,High,Website,Website element system,"Port the element system: registry.ts (REGISTRY_VERSION, createRegistry, ElementApi), expander.ts (depth-first innermost-first expansion via linkedom, SeoCollector), and index.ts (PROD_DEFS + PARTIALS) with the base and e-{type}--{variant}.html dispatchers.",website/src/elements/registry.ts; website/src/elements/expander.ts; website/src/elements/index.ts; website/src/elements/README.md; website/src/elements/e-*.html,H2,A fixture page with nested e-* expands fully with zero unexpanded tags; unknown e-* are left untouched as a visible signal; variant fallback works for unknown variants.,Depth-first so slotted children resolve before parents render.
H4,Pending,High,Website,Website layout + meta + JSON-LD,"Port src/layouts/base.html (head/meta/OG/Twitter/canonical, nav with active flags, footer, JSON-LD injection) plus src/meta.ts resolveMeta and src/jsonld.ts buildJsonLd.",website/src/layouts/base.html; website/src/meta.ts; website/src/jsonld.ts,H3,Expanded output contains no &#x2F; escaping regression; canonical URL and OG tags are correct per page; FAQ/HowTo JSON-LD is emitted when those elements are used.,The no-&#x2F; assertion is a real regression guard found in Compressy.
